show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s1,Movie,Dick Johnson Is Dead,Kirsten Johnson,Not Available,United States,2021-09-25,2020,PG-13,90 min,Documentaries,"As her father nears the end of his life, filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable."
s2,TV Show,Blood & Water,Unknown,"Ama Qamata, Khosi Ngema, Gail Mabalane, Thabang Molaba",South Africa,2021-09-24,2021,TV-MA,2 Seasons,"International TV Shows, TV Dramas, TV Mysteries","After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth."
s3,TV Show,Ganglands,Julien Leclercq,"Sami Bouajila, Tracy Gotoas, Samuel Jouy, Nabiha Akkari",France,2021-09-24,2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure","To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war."
s4,TV Show,Jailbirds New Orleans,Unknown,Not Available,United States,2021-09-24,2021,TV-MA,1 Season,"Docuseries, Reality TV","Feuds, flirtations and toilet-bowl brews â this Louisiana jail has it all as a new group of incarcerated women bide their time, awaiting trial."
s5,TV Show,Kota Factory,Unknown,"Mayur More, Jitendra Kumar, Ranjan Raj, Alam Khan",India,2021-09-24,2021,TV-14,2 Seasons,"International TV Shows, Romantic TV Shows, TV Comedies","In a city of coaching centers known to train India's finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life."
s6,TV Show,Midnight Mass,Mike Flanagan,"Kate Siegel, Zach Gilford, Hamish Linklater, Henry Thomas",United States,2021-09-24,2021,TV-MA,1 Season,"TV Dramas, TV Horror, TV Mysteries","The arrival of a charismatic young priest brings glorious miracles, ominous mysteries and renewed religious fervor to a dying island community."
s7,Movie,My Little Pony: A New Generation,"Robert Cullen, Jose Ucha","Vanessa Hudgens, Kimiko Glenn, James Marsden, Sofia Carson",United States,2021-09-24,2021,TV-Y,91 min,Children & Family Movies,"Equestria's divided. But a bright-eyed hero believes Earth Ponies, Pegasi and Unicorns should be pals â and, hoof to heart, she's determined to prove it."
s8,Movie,Sankofa,Haile Gerima,"Kofi Ghanaba, Oyafunmike Ogunlano, Alexandra Duah, Nick Medley","United States, Ghana, Burkina Faso, UK, Germany, Ethiopia",2021-09-24,1993,TV-MA,125 min,"Dramas, Independent Movies, International Movies","On a photo shoot in Ghana, an American model slips back in time, becoming enslaved on a plantation run by a malevolent slave master."
s9,TV Show,The Great British Baking Show,Unknown,"Prue Leith, Paul Hollywood, Matt Lucas, Noel Fielding",United Kingdom,2021-09-24,2021,TV-14,9 Seasons,"British TV Shows, Reality TV","A talented batch of amateur bakers face off in a 10-week competition, whipping up their best dishes in the hopes of being named the U.K.'s best."
s10,Movie,The Starling,Theodore Melfi,"Melissa McCarthy, Chris O'Dowd, Kevin Kline, Timothy Olyphant",United States,2021-09-24,2021,PG-13,104 min,"Comedies, Dramas",A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden â and a husband who's struggling to find his footing.
s11,Movie,Love in Paris 3,Denis Villeneuve,"Ajith, Deepika Padukone, Allu Arjun",Turkey,2019-02-19,2013,PG,81 min,Sci-Fi & Fantasy,A chef's obsession with perfection leads to unexpected discoveries about life.
s12,Movie,Dangerous Game,Anurag Kashyap,"Meryl Streep, Natalie Portman, Vidya Balan, Brad Pitt, Song Kang-ho",Philippines,2021-03-23,2013,R,89 min,Sports Movies,A family torn apart by tragedy must find a way back to each other.
s13,Movie,Desert Rose,Shankar,"Kangana Ranaut, Brad Pitt, Song Kang-ho, Aamir Khan",Italy,2019-02-13,2002,TV-PG,176 min,"Stand-Up Comedy, Romantic Movies, Dramas","When love meets destiny, nothing will ever be the same again."
s14,Movie,Bajirao 2,Ridley Scott,"Park Seo-jun, Deepika Padukone, Robert Downey Jr",United States,2020-06-06,2011,R,155 min,"Dramas, Documentaries","In a small town, everyone has something to hide â and someone is watching."
s15,Movie,Sacred Ground,Alfonso Cuaron,"Allu Arjun, Chris Evans, Jung Ho-yeon",Nigeria,2015-04-27,2001,TV-MA,121 min,"Dramas, Romantic Movies",An estranged father and daughter reconnect on an unexpected road trip.
s16,Movie,Blood Money 5,Priyadarshan,"Priyanka Chopra, Brad Pitt, Meryl Streep, Ajith, Alia Bhatt",Germany,2020-10-14,2018,R,98 min,Cult Movies,Behind every great fortune lies a great crime in this riveting saga.
s17,Movie,Dhadak 2,Steven Spielberg,"Prabhas, Leonardo DiCaprio, Song Kang-ho",Brazil,2019-02-13,2012,TV-PG,129 min,"Children & Family Movies, Action & Adventure, Thrillers","In a small town, everyone has something to hide â and someone is watching."
s18,Movie,Bajirao 2 2,Bong Joon-ho,"Leonardo DiCaprio, Natalie Portman, Shah Rukh Khan, Ajith, Kim Go-eun",Italy,2019-03-17,2003,TV-MA,108 min,"Cult Movies, Romantic Movies, Horror Movies","Set against the backdrop of a divided nation, a story of hope and courage unfolds."
s19,Movie,The Clone 2,Jordan Peele,"Ranbir Kapoor, Shah Rukh Khan, Deepika Padukone, Lee Min-ho",India,2021-05-08,2001,R,142 min,Dramas,Behind every great fortune lies a great crime in this riveting saga.
s20,Movie,Dhadak 2,Martin Scorsese,"Allu Arjun, Ranbir Kapoor, Alia Bhatt",United States,2019-10-14,2006,TV-MA,166 min,"Romantic Movies, Animated Movies, Independent Movies","Set against the backdrop of a divided nation, a story of hope and courage unfolds."
s21,TV Show,Club de Cuervos S5,Unknown,"Chris Evans, Shah Rukh Khan",South Korea,2016-10-08,2000,PG-13,6 Seasons,Anime Series,"In a city full of secrets, one detective uncovers a conspiracy that goes all the way to the top."
s22,Movie,Money Heist: Korea,Greta Gerwig,"Brad Pitt, Allu Arjun, Ranbir Kapoor",United States,2016-12-19,2018,TV-Y7,170 min,"International Movies, Romantic Movies",A family torn apart by tragedy must find a way back to each other.
s23,Movie,Dilwale Returns,Zack Snyder,"Natalie Portman, Park Seo-jun, Ajith, Aamir Khan, Allu Arjun",Mexico,2020-02-02,2012,TV-14,172 min,Sci-Fi & Fantasy,An extraordinary journey through time and space that will change everything you know.
